[2026-04-18T18:44:50.758Z] GET https://www.improvedigital.com/ → pending (?ms, ?B)
[2026-04-18T18:44:52.244Z] GET https://improvedigital.com/ → pending (?ms, ?B)
[2026-04-18T18:44:52.454Z] GET https://cookie-cdn.cookiepro.com/consent/387741d0-ecc5-4897-bd1a-0c5b650a4374/OtAutoBlock.js → 200 (803ms, 5319B)
[2026-04-18T18:44:52.454Z] GET https://cookie-cdn.cookiepro.com/scripttemplates/otSDKStub.js → 200 (742ms, 26578B)
[2026-04-18T18:44:52.454Z] GET https://improvedigital.com/wp-content/themes/neve/style.css?ver=6.9.4 → 200 (217ms, 1672B)
[2026-04-18T18:44:52.455Z] GET https://improvedigital.com/wp-content/themes/improvedigital/style.css?ver=6.9.4 → 200 (396ms, 56239B)
[2026-04-18T18:44:52.455Z] GET https://improvedigital.com/wp-content/themes/neve/style-main-new.min.css?ver=3.4.10 → 200 (273ms, 39011B)
[2026-04-18T18:44:52.455Z] GET https://fonts.googleapis.com/css?family=Montserrat%3A400%2C300%2C600%2C500&display=swap&ver=3.4.10 → 200 (918ms, ?B)
[2026-04-18T18:44:52.455Z] GET https://improvedigital.com/wp-content/themes/neve/assets/css/mega-menu.min.css?ver=3.4.10 → 200 (299ms, 2312B)
[2026-04-18T18:44:52.455Z] GET https://improvedigital.com/wp-content/uploads/2022/03/cropped-IMPROVE_DIGITAL_AZERION_COMPANY_LOGO_1_COLOR_HD-1536x383.png → 200 (665ms, ?B)
[2026-04-18T18:44:52.455Z] GET https://improvedigital.com/wp-content/uploads/2021/10/ICON_1_V2-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.487Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/DAILYMOTION-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.488Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/MEDIAMOND.png → pending (?ms, ?B)
[2026-04-18T18:44:52.488Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/THE_TELEGRAPH-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.488Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/PRISA-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.488Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/MEDIA_FIGARO-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.488Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/ITALIA_ONLINE-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.488Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/CRITEO-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.488Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/AUDIGENT.png → pending (?ms, ?B)
[2026-04-18T18:44:52.489Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/ZEMANTA-min.png → pending (?ms, ?B)
